Dataset             SVM                 LogisticRegression
blood.csv           0.767068273092      0.769745649264
wine.csv            0.994350282486      0.994350282486
yeast.csv           0.586648685098      0.585300067431
seeds.csv           0.937799043062      0.933014354067
pima.csv            0.780964797914      0.775749674055
planning.csv        0.71270718232       0.71270718232
flags.csv           0.637305699482      0.668393782383
glass.csv           0.591549295775      0.629107981221
breast-cancer.csv   0.778947368421      0.736842105263
hepatitis.csv       0.87012987013       0.88961038961
